"","Longitude","Latitude","occurrence"
"1",-39.0761412,-15.2950393,1
"2",-70.7651846,-8.1609244,1
"3",-69.8674302,-6.6623703,1
"4",-43.3230842,-4.1315571,1
"5",-72.7417348,-8.2672986,1
"6",-39.2845674,-14.5918449,1
"7",-64.3866781,-6.5305026,1
"8",-59.9117247,0.9498897,1
"9",-35.3964113,-8.141433,1
"10",-60.6010943,2.6101143,1
"11",-62.8997735,-9.7055092,1
"12",-43.9002798,-22.6269888,1
"13",-62.3635723,-11.1243087,1
"14",-38.7486283,-12.2479449,1
"15",-48.9777681,-27.0862158,1
"16",-46.3982474,-23.1822675,1
"17",-62.0024651,-9.4251996,1
"18",-61.8566786,-12.1326079,1
"19",-48.8284777,-26.9012652,1
"20",-40.3899358,-18.9978908,1
"21",-40.0837763,-13.8590592,1
"22",-56.1354693,-15.6505125,1
"23",-40.3335374,-19.2661489,1
"24",-60.4296301,0.9439379,1
"25",-67.0586512,-10.0764608,1
"26",-39.0153007,-14.1039544,1
"27",-49.0842138,-26.4813798,1
"28",-38.5016363,-12.9777378,1
"29",-35.3179262,-7.511157,1
"30",-47.5500881,-2.0463456,1
"31",-40.3692402,-19.8331165,1
"32",-70.1908196,-4.3670135,1
"33",-38.3185595,-12.8857737,1
"34",-42.6814245,-19.1752202,1
"35",-56.7331138,-2.6319989,1
"36",-40.4626927,-19.2517153,1
"37",-67.5411079,-9.5936386,1
"38",-60.0236479,-2.0532661,1
"39",-61.9592887,-10.8724473,1
"40",-51.0560957,0.0405217,1
"41",-60.6318987,-3.2897156,1
"42",-35.2308917,-7.5976411,1
"43",-42.5503593,-19.4722733,1
"44",-62.1297651,-10.4274006,1
"45",-43.7112909,-22.6083166,1
"46",-59.8256028,-3.1974418,1
"47",-40.6490244,-20.8040572,1
"48",-63.5691858,-12.0600752,1
"49",-61.3741007,-3.8983465,1
"50",-39.0720559,-13.370017,1
"51",-60.1221512,-12.7384594,1
"52",-63.2979357,-10.26045,1
"53",-35.1008129,-8.1183894,1
"54",-48.9095634,-26.7118701,1
"55",-35.8392103,-9.3924078,1
"56",-63.0346209,-9.903959,1
"57",-38.9947042,-4.3037643,1
"58",-37.1134669,-10.6054681,1
"59",-43.3130887,-22.7868557,1
"60",-41.0560307,-19.9009345,1
"61",-71.9503355,-9.1911243,1
"62",-44.3172034,-2.9722383,1
"63",-62.9000387,-10.3419313,1
"64",-39.8887886,-14.0168531,1
"65",-39.6605539,-13.2681466,1
"66",-35.3996839,-9.0510437,1
"67",-56.7421011,-2.1698669,1
"68",-51.2862497,-0.115823,1
"69",-34.920874,-8.1688125,1
"70",-72.6514181,-7.7356276,1
"71",-61.7781409,-11.7256983,1
"72",-54.9650745,-20.9411927,1
"73",-39.0043704,-13.0376935,1
"74",-39.683827,-13.7795966,1
"75",-39.8558783,-18.716613,1
"76",-43.7022996,-22.2449114,1
"77",-40.2670486,-19.8244299,1
"78",-40.4203433,-20.2642916,1
"79",-49.7738151,-16.9730503,1
"80",-40.8528533,-19.2228757,1
"81",-57.0683514,-2.7999106,1
"82",-41.677214,-21.1362798,1
"83",-60.0217314,-3.1190275,1
"84",-49.0729814,-27.1978335,1
"85",-58.438544,-3.135021,1
"86",-39.3016915,-14.9567483,1
"87",-52.0955078,-23.3461253,1
"88",-40.5438556,-19.412928,1
"89",-40.8572284,-19.8035325,1
"90",-41.1109384,-18.0434557,1
"91",-38.8929666,-13.1148417,1
"92",-35.0372522,-8.2869133,1
"93",-61.998303,-11.70721,1
"94",-39.2684399,-3.2781386,1
"95",-68.7532024,-10.9974896,1
"96",-42.4260413,-10.9443248,1
"97",-38.8789563,-4.3313286,1
"98",-41.2922431,-20.149507,1
"99",-39.0346984,-14.7981287,1
"100",-44.2492313,-2.94096,1
"101",-63.6189426,-10.5701976,1
"102",-60.9022959,-12.5551511,1
"103",-60.6737553,2.8206339,1
"104",-39.4297707,-12.7630815,1
"105",-40.7624728,-16.6390622,1
"106",-39.104571,-13.944341,1
"107",-35.7284097,-8.473824,1
"108",-41.9463938,-22.5273001,1
"109",-40.0751547,-18.9057387,1
"110",-60.3759279,-5.1244337,1
"111",-63.7004152,-8.7958117,1
"112",-58.2130166,-2.836772,1
"113",-55.8629258,-1.7607276,1
"114",-38.758604,-12.3961612,1
"115",-60.5425293,-13.494663,1
"116",-39.1423064,-13.8205223,1
"117",-62.2546668,-10.9327023,1
"118",-48.1512145,-2.4203332,1
"119",-43.654758,-22.6468326,1
"120",-44.3252523,-3.139036,1
"121",-69.9369359,-4.2314556,1
"122",-60.1855862,-3.2799526,1
"123",-56.0952985,-2.1633411,1
"124",-43.1728965,-22.9068467,1
"125",-67.7385254,-10.1527174,1
"126",-39.5296849,-17.0388858,1
"127",-39.108231,-13.0009593,1
"128",-64.8095224,-3.213752,1
"129",-41.033333,-12.633333,1
"130",-59.3299299,-15.2324928,1
"131",-63.0315319,-11.7655652,1
"132",-40.3385246,-20.3196711,1
"133",-63.1483782,-4.0912575,1
"134",-39.4783429,-13.6873937,1
"135",-51.92528,-14.235004,1
"136",-42.8023065,-5.0961242,1
"137",-38.8460564,-4.1477909,1
"138",-41.0137662,-19.5124172,1
"139",-56.0925824,-15.5954635,1
"140",-49.3648447,-26.7850234,1
"141",-62.4736737,-10.4283629,1
"142",-38.9946356,-14.2801238,1
"143",-52.0033808,0.901711,1
"144",-44.2988947,-2.5306721,1
"145",-54.0735023,-2.0009526,1
"146",-54.7136192,-2.4406918,1
"147",-47.7829078,-5.1729837,1
"148",-39.5047077,-13.2288403,1
"149",-54.6218477,-20.4648517,1
"150",-40.2949184,-20.3477818,1
"151",-35.0609851,-8.398109,1
"152",-45.1861348,-22.8034818,1
"153",-47.4529081,-0.7647697,1
"154",-56.7114471,-2.1923571,1
"155",-38.9208831,-4.2254002,1
"156",-62.714513,-11.6939081,1
"157",-40.1436124,-14.7926027,1
"158",-61.9942416,-11.9292104,1
"159",-37.0831456,-7.6937137,1
"160",-40.3081052,-20.1279874,1
"161",-43.3587013,-4.8653843,1
"162",-67.9452551,-3.1045366,1
"163",-39.0653656,-16.4443537,1
"164",-39.0998832,-13.5378122,1
"165",-49.9035717,-6.0687275,1
"166",-62.5830424,-9.3689197,1
"167",-63.3188037,-9.7205133,1
"168",-39.420747,-13.4499324,1
"169",-41.1225256,-20.0795654,1
"170",-35.1008671,-7.6647654,1
"171",-54.7365082,-1.9472294,1
"172",-64.7091998,-3.3473698,1
"173",-47.5569422,-4.2930076,1
"174",-60.5450076,-13.1209832,1
"175",-40.6045344,-18.6212727,1
"176",-72.7893354,-8.947882,1
"177",-39.3766204,-14.6749069,1
"178",-62.6729871,-11.0305399,1
"179",-66.896917,-4.8773198,1
"180",-41.5107931,-20.2349041,1
"181",-48.9170691,-27.0989969,1
"182",-49.4987339,-2.2442314,1
"183",-57.8714674,-2.5690663,1
"184",-72.6745696,-7.6283588,1
"185",-55.1216544,-1.8901001,1
"186",-39.4861642,-13.7453289,1
"187",-34.9037314,-8.036285,1
"188",-52.8901821,-3.4449038,1
"189",-35.5216105,-8.7081827,1
"190",-44.1772604,-22.5408519,1
"191",-66.095898,-2.5151683,1
"192",-48.4273508,-17.3268069,1
"193",-47.1788727,-1.1922171,1
"194",-42.6280223,-19.5195034,1
"195",-43.6995759,-22.7472448,1
"196",-35.4501983,-7.5557028,1
"197",-44.3845288,-5.5785319,1
"198",-38.9173648,-12.777364,1
"199",-39.60207,-13.0297318,1
"200",-40.5372213,-19.0182613,1
"201",-40.421581,-20.3668666,1
"202",-49.0717331,-26.9165792,1
"203",-47.4762224,-5.5237579,1
"204",-51.1551344,-6.7533435,1
