full.name,PA,run,algo,expl var,rand,var.imp,Group,Predictor_variable
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,1,0.036441,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,2,0.037223,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,3,0.036719,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,4,0.037066,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,5,0.036433,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,banana harvested area,1,0.057392,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,banana harvested area,2,0.059918,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,banana harvested area,3,0.057411,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,banana harvested area,4,0.062015,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN2_RF,PA1,RUN2,RF,banana harvested area,5,0.054706,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,1,0.03191,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,2,0.030948,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,3,0.030275,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,4,0.034069,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,5,0.033056,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,1,0.019857,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,2,0.021108,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,3,0.021936,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,4,0.02099,Land Use,Banana Harvested Area
OROV.revised_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,5,0.021514,Land Use,Banana Harvested Area
