full.name,PA,run,algo,expl.var,rand,var.imp,Predictor_variable,Group
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,1,0.032567,Banana Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,2,0.040198,Banana Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,3,0.039709,Banana Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,4,0.034933,Banana Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,banana harvested area,5,0.040227,Banana Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,1,0.036066,Banana Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,2,0.035658,Banana Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,3,0.038419,Banana Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,4,0.034941,Banana Harvested Area,Land Use
Culicoides_PA1_RUN3_RF,PA1,RUN3,RF,banana harvested area,5,0.038516,Banana Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,1,0.114666,Banana Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,2,0.117261,Banana Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,3,0.109527,Banana Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,4,0.113215,Banana Harvested Area,Land Use
Culicoides_PA1_RUN4_RF,PA1,RUN4,RF,banana harvested area,5,0.106065,Banana Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,banana harvested area,1,0.066569,Banana Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,banana harvested area,2,0.06924,Banana Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,banana harvested area,3,0.069377,Banana Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,banana harvested area,4,0.065533,Banana Harvested Area,Land Use
Culicoides_PA1_allRun_RF,PA1,allRun,RF,banana harvested area,5,0.066861,Banana Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,banana harvested area,1,0.008799,Banana Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,banana harvested area,2,0.007595,Banana Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,banana harvested area,3,0.00829,Banana Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,banana harvested area,4,0.007409,Banana Harvested Area,Land Use
Culicoides_PA2_RUN1_RF,PA2,RUN1,RF,banana harvested area,5,0.007408,Banana Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,banana harvested area,1,0.016959,Banana Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,banana harvested area,2,0.016254,Banana Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,banana harvested area,3,0.017884,Banana Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,banana harvested area,4,0.015945,Banana Harvested Area,Land Use
Culicoides_PA2_RUN3_RF,PA2,RUN3,RF,banana harvested area,5,0.015968,Banana Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,banana harvested area,1,0.00835,Banana Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,banana harvested area,2,0.009118,Banana Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,banana harvested area,3,0.008048,Banana Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,banana harvested area,4,0.008869,Banana Harvested Area,Land Use
Culicoides_PA2_RUN4_RF,PA2,RUN4,RF,banana harvested area,5,0.00871,Banana Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,1,0.007179,Banana Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,2,0.007712,Banana Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,3,0.007443,Banana Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,4,0.0074,Banana Harvested Area,Land Use
Culicoides_PA2_allRun_RF,PA2,allRun,RF,banana harvested area,5,0.007308,Banana Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,1,0.011307,Banana Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,2,0.012017,Banana Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,3,0.011882,Banana Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,4,0.012104,Banana Harvested Area,Land Use
Culicoides_PA3_RUN1_RF,PA3,RUN1,RF,banana harvested area,5,0.013318,Banana Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,1,0.014201,Banana Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,2,0.013543,Banana Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,3,0.01315,Banana Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,4,0.013337,Banana Harvested Area,Land Use
Culicoides_PA3_RUN3_RF,PA3,RUN3,RF,banana harvested area,5,0.014139,Banana Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,1,0.013063,Banana Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,2,0.012548,Banana Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,3,0.011746,Banana Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,4,0.012688,Banana Harvested Area,Land Use
Culicoides_PA3_RUN4_RF,PA3,RUN4,RF,banana harvested area,5,0.012088,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,1,0.011019,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,2,0.01063,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,3,0.010255,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,4,0.010728,Banana Harvested Area,Land Use
Culicoides_PA3_allRun_RF,PA3,allRun,RF,banana harvested area,5,0.011395,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,1,0.071646,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,2,0.075958,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,3,0.073887,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,4,0.076642,Banana Harvested Area,Land Use
Culicoides_allData_allRun_RF,allData,allRun,RF,banana harvested area,5,0.074965,Banana Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,1,0.00223,Cassava Harvested Area,Land Use
Culicoides_PA1_RUN1_RF,PA1,RUN1,RF,cassava harvested area,2,0.002965,Cassava Harvested Area,Land Use
